,duration10mean,duration20mean,loudness33skew,timbre10dstd,loudness10mean,pitches20dskew,pitches100mean,pitches20dstd,pitches10std,pitches20mean,timbre100mean,timbre10kurt,timbre100dstd,loudness10dskew,pitches33mean,loudness20mean,duration33mean,pitches10mean,loudness20dkurt,loudness33mean
Beastie Boys - Sure Shot - Edited / 2005 Remaster,-1.4039247153110153,-1.4039247153110144,-0.389981088163588,0.06394269272759125,1.1522054377354898,-0.8519331912915249,0.9998663250317952,0.27777958239648437,0.7791765975086604,0.9998663250317952,-0.12223891304304887,0.27918601920439795,-1.7793029360734343,0.4825019543365159,0.9879403633273031,1.15220543773549,-1.3990707530997295,0.9998663250317952,0.29501710554399857,1.1551057730010765
Beastie Boys - Body Movin' - Fatboy Slim Remix / Remastered 2005,-1.3315500161001703,-1.3315500161001697,1.7711607876292081,-0.037965214637419614,0.6546024712615522,1.0791425176895546,0.9263967258964654,-1.2109844445718152,0.11288162876509802,0.9263967258964645,0.38978125650106826,0.41986041988548695,-1.060679310576921,1.5165137130830522,0.9286135782979885,0.6546024712615522,-1.3232336347114697,0.9263967258964645,-0.7702101341549409,0.6475620650708
Beastie Boys - Triple Trouble - Remastered 2005,-1.727789977732161,-1.7277899777321604,0.5028347011926659,1.011329498541512,1.035756155040399,1.272879633740308,0.4422957667104411,-0.2025429333782288,-0.23788215523950482,0.4422957667104411,1.3935170434022146,-0.46047604024407957,0.5600075075018034,-1.2883810186752884,0.4247721319093242,1.035756155040399,-1.7411102111345902,0.44229576671044024,0.12921583136348808,1.0316840363915458
Beastie Boys - Sabotage - Edited / 2005 Remaster,-0.9681766484414902,-0.9681766484414893,0.14703358677543066,-1.1978225787908263,1.2818672114426388,-0.6339498017571698,0.5116008975399277,-1.1480781551798587,-0.6971580365465245,0.5116008975399277,0.16530718759712656,-0.1745905457524468,-1.5301986687148061,-1.0016076548465396,0.5182118183304947,1.2818672114426388,-0.9587498095879278,0.5116008975399293,-1.2411534050323305,1.2888603533094978
Beastie Boys - (You Gotta ) Fight For Your Right (To Party),1.1330110744453303,1.1330110744453326,0.3714881862503824,0.8304643067695163,1.0295130800988377,0.04386837202746549,0.24592506890415208,-2.067765336882073,-1.4519849480255664,0.24592506890415372,0.5192944444736898,1.307360013526809,0.48760684314597796,-0.8946318830986618,0.21276612070162726,1.0295130800988375,1.1680250615138037,0.2459250689041529,0.35326202960211106,1.0384531440170233
Lana Del Rey - Born To Die,0.35306514472232414,0.3530651447223252,-0.5118917097187362,-0.9865235274678439,-0.35559721784791243,0.8194503720916142,0.15118957540229888,-0.43993257198396785,0.23392648964793297,0.15118957540229888,-1.3319740688301474,-0.46320234739027494,-1.3350653061775986,-0.9290436601956761,0.15382570759162226,-0.35559721784791243,0.37175366583108566,0.15118957540229888,-0.019316290434129125,-0.3517374027103306
Lana Del Rey - Off To The Races,-0.1384719794925827,-0.1384719794925807,-0.35958690266567356,-1.0067107895554208,0.6994972705643037,1.0765670203651478,0.8488735466646187,1.8790826070905882,1.7932327944523443,0.8488735466646187,0.10284701327577628,-0.5666949437818297,-0.6898841855294854,-1.4807900993412288,0.8533084448637192,0.6994972705643039,-0.14704642080597558,0.8488735466646187,0.4194084423495249,0.693651724344271
Lana Del Rey - Blue Jeans,0.2972071694555774,0.2972071694555784,-0.6487712307917268,-1.02682499007949,1.1372487397947648,-0.13877212071727613,0.7385274574719284,0.4741942366018182,-0.4812808786459949,0.7385274574719275,0.44813250988420106,0.07833687783050398,-1.2539148022299038,-0.013426088063696797,0.7188884077752418,1.1372487397947648,0.30415452735193743,0.7385274574719275,1.1789795656334274,1.1275813868474809
Lana Del Rey - Video Games,0.9783266135699495,0.9783266135699507,1.2257027374479537,-0.15540582468435618,-0.9574919000254786,-1.1667473826449697,-1.4200840298516892,-0.8469792422094987,-0.8240487702202421,-1.4200840298516901,-2.177861701504071,-0.2123159852714593,0.4123170869814863,0.2179609434365635,-1.421562170752985,-0.9574919000254795,0.9427190631086579,-1.4200840298516901,0.440167533598484,-0.9663201136109769
Lana Del Rey - Diet Mountain Dew,0.3123346531953063,0.31233465319530734,0.03108248624525823,-0.8013903346968855,0.5868402791376326,0.37101030725648704,-0.09902350848840856,-0.12171984277712251,-0.46320669983653107,-0.09902350848840938,-1.3774551522211833,1.3349351815469432,-1.4762419651785867,-1.1118058822596235,-0.10418348923439573,0.5868402791376326,0.33981819182261574,-0.09902350848840774,0.8069409222781351,0.5926352362465683
